加载 338225 G_M 顶点
workers=10, chunksize=50

并行扫描 k_real ...
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 79200,  288288)  9   3             6       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 91728,  997920)  9   4             5       0     4        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 92400,  154440)  9   3             6       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 92400,  336336)  9   3             6       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   (117600,  196560)  9   3             6       0     3        0.0s ⚠ high deficit

聚合统计:
  K_10:  rank min=3 max=4 avg=3.17  deficit min=6 max=7 avg=6.83  count=6
         rank > 4: 0 / 6
  K_9:  rank min=3 max=4 avg=3.30  deficit min=5 max=6 avg=5.70  count=10
         rank > 4: 0 / 10

result: /Users/konan/Desktop/d19/results/k10_ellrank_wl063.jsonl
